,Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,County
597,30145,Kingston,GA,34.237986,-84.97801,-5,1,"34.237986,-84.97801",Caldwell County
598,30671,Maxeys,GA,33.748344,-83.18538000000001,-5,1,"33.748344,-83.18538",Oklahoma County
599,31719,Americus,GA,32.085491,-84.25266500000001,-5,1,"32.085491,-84.252665",Sumter County
724,31744,Doerun,GA,31.325003999999996,-83.90937,-5,1,"31.325004,-83.90937",Colquitt County
756,30364,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
802,30552,Lakemont,GA,34.763553,-83.44201,-5,1,"34.763553,-83.44201",Delaware County
803,31758,Thomasville,GA,30.868187,-83.927785,-5,1,"30.868187,-83.927785",Thomas County
872,30111,Clarkdale,GA,33.912473,-84.557181,-5,1,"33.912473,-84.557181",Yavapai County
950,31071,Pineview,GA,32.13702,-83.52604000000001,-5,1,"32.13702,-83.52604",Forrest County
958,30567,Pendergrass,GA,34.167309,-83.68536,-5,1,"34.167309,-83.68536",Jackson County
1001,30370,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
1002,30919,Augusta,GA,33.386041,-82.09099599999999,-5,1,"33.386041,-82.090996",Richmond County
1056,30450,Portal,GA,32.555659000000006,-81.9242,-5,1,"32.555659,-81.9242",Alameda County
1086,30014,Covington,GA,33.581406,-83.851,-5,1,"33.581406,-83.851",Kenton County
1230,31822,Pine Mountain,GA,32.867211,-84.88436999999999,-5,1,"32.867211,-84.88437",Cobb County
1231,31906,Columbus,GA,32.468441999999996,-84.95128000000001,-5,1,"32.468442,-84.95128",Franklin County
1297,31816,Manchester,GA,32.862377,-84.60879,-5,1,"32.862377,-84.60879",Greater Manchester
1320,30335,Atlanta,GA,33.752406,-84.389676,-5,1,"33.752406,-84.389676",Fulton County
1376,30148,Marble Hill,GA,34.452988,-84.25925,-5,1,"34.452988,-84.25925",New York County
1377,30187,Winston,GA,33.670405,-84.83809000000001,-5,1,"33.670405,-84.83809",Cleveland County
1378,30303,Atlanta,GA,33.752856,-84.39013,-5,1,"33.752856,-84.39013",Fulton County
1379,31066,Musella,GA,32.799959,-84.00588,-5,1,"32.799959,-84.00588",Crawford County
1422,30082,Smyrna,GA,33.859137,-84.53744,-5,1,"33.859137,-84.53744",Cobb County
1425,31635,Lakeland,GA,31.055578000000004,-83.07103000000001,-5,1,"31.055578,-83.07103",Polk County
1452,30234,Jenkinsburg,GA,33.325951,-84.03345999999999,-5,1,"33.325951,-84.03346",Butts County
1453,31798,Wray,GA,31.621764000000002,-83.05502,-5,1,"31.621764,-83.05502",Yuma County
1492,30750,Lookout Mountain,GA,34.957134,-85.37183,-5,1,"34.957134,-85.37183",Walker County
1493,31765,Meigs,GA,31.082140999999996,-84.05767,-5,1,"31.082141,-84.05767",Cherokee County
1553,31139,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
1567,31044,Jeffersonville,GA,32.630784000000006,-83.37026999999999,-5,1,"32.630784,-83.37027",Clark County
1658,30633,Danielsville,GA,34.17085,-83.24654,-5,1,"34.17085,-83.24654",Madison County
1659,31208,Macon,GA,32.806707,-83.691315,-5,1,"32.806707,-83.691315",Bibb County
1695,31551,Mershon,GA,31.496025,-82.27322,-5,1,"31.496025,-82.27322",Clark County
1700,30710,Cohutta,GA,34.935105,-84.94641999999999,-5,1,"34.935105,-84.94642",Whitfield County
1738,30277,Sharpsburg,GA,33.387534,-84.65511,-5,1,"33.387534,-84.65511",Washington County
1739,31032,Gray,GA,33.003454999999995,-83.55078,-5,1,"33.003455,-83.55078",Jones County
1792,30114,Canton,GA,34.228478,-84.50402,-5,1,"34.228478,-84.50402",Stark County
