,ZIP,City,State,Latitude,Longitude,County,Median Income,Population
297,31207,Macon,GA,32.830389000000004,-83.648552,Bibb County,2499,1107
298,31815,Lumpkin,GA,32.030297,-84.81218,Stewart County,15625,3677
299,30917,Augusta,GA,33.527678,-82.23554200000002,Richmond County,,
300,31639,Nashville,GA,31.199,-83.2188,Davidson County,21910,10237
301,31403,Savannah,GA,31.971394,-81.07155999999998,Chatham County,,
302,31307,Eden,GA,32.183211,-81.39979,Washington County,18750,908
303,30429,Hagan,GA,32.159458,-81.93724,Evans County,19018,210
304,31205,Macon,GA,32.806707,-83.691315,Bibb County,,
305,30164,Rome,GA,34.333308,-85.233721,Metropolitan City of Rome,-666666666,0
306,30287,Morrow,GA,33.500696999999995,-84.35127299999998,Clayton County,,
307,30044,Lawrenceville,GA,33.91967,-84.07481999999997,Gwinnett County,29646,88040
308,30274,Riverdale,GA,33.555145,-84.40108000000002,Sumner County,23915,35347
309,31084,Seville,GA,31.989039,-83.394574,Seville,14453,43
310,30275,Sargent,GA,33.431181,-84.86733000000002,Texas County,-666666666,0
311,30052,Loganville,GA,33.823809000000004,-83.89423000000002,Walton County,31550,65959
312,30635,Elberton,GA,34.119972,-82.825,Elbert County,21478,14964
313,30102,Acworth,GA,34.097998,-84.6183,Cobb County,29123,41642
314,31629,Dixie,GA,30.802821,-83.69126,Washington County,39050,732
315,31515,Baxley,GA,31.717717,-82.299677,Appling County,,
316,31806,Ellaville,GA,32.246795,-84.32008,Schley County,27406,5180
317,30271,Newnan,GA,33.351401,-84.756109,Coweta County,,
318,30253,Mcdonough,GA,33.455031,-84.17215,Henry County,32042,55176
319,30613,Athens,GA,33.962364,-83.39828,,,
320,31210,Macon,GA,32.88899,-83.72204,Bibb County,35734,34305
321,30542,Flowery Branch,GA,34.188281,-83.91813,Hall County,33127,37056
322,31092,Vienna,GA,32.091578000000005,-83.79311,,18784,7133
323,30460,Statesboro,GA,32.41795,-81.78233,Bulloch County,3125,2079
324,31296,Macon,GA,32.806707,-83.691315,Bibb County,,
325,31193,Atlanta,GA,33.844371,-84.47405,Fulton County,,
326,31709,Americus,GA,32.071641,-84.21942,Sumter County,24418,15659
327,30048,Lilburn,GA,33.960353000000005,-84.037859,Gwinnett County,,
328,30074,Redan,GA,33.891251000000004,-84.07455999999998,DeKalb County,,
329,31512,Ambrose,GA,31.57344,-83.01501999999998,Baltimore County,21716,2131
330,30162,Rome,GA,34.290508,-85.213817,Metropolitan City of Rome,,
331,30188,Woodstock,GA,34.108027,-84.4843,Ulster County,38267,63171
332,30265,Newnan,GA,33.400875,-84.71206,Coweta County,40893,34690
333,30603,Athens,GA,33.947587,-83.408897,,,
334,30022,Alpharetta,GA,34.026238,-84.24506,Fulton County,48226,68807
335,31739,Cotton,GA,31.260443,-84.253089,Washington County,,
336,30399,Atlanta,GA,33.844371,-84.47405,Fulton County,,
337,31718,Bainbridge,GA,30.901863,-84.570049,Decatur County,,
338,30149,Mount Berry,GA,34.280355,-85.182085,Floyd County,3561,1935
339,30108,Bowdon,GA,33.533934,-85.26088,Carroll County,21243,7351
340,31206,Macon,GA,32.799040000000005,-83.67215999999998,Bibb County,16109,26526
341,30625,Buckhead,GA,33.527207000000004,-83.34676,Fulton County,26886,2140
342,31630,Du Pont,GA,30.96373,-82.86455,Johnson County,19868,560
343,30117,Carrollton,GA,33.588486,-85.1062,Dallas County,21845,35575
344,30736,Ringgold,GA,34.916552,-85.14435,Catoosa County,29406,43149
345,31699,Valdosta,GA,30.965263,-83.19315999999998,Lowndes County,25609,684
346,30178,Taylorsville,GA,34.113826,-84.97274,Salt Lake County,24628,2971
347,30564,Murrayville,GA,34.466226,-83.88441999999998,New Hanover County,25034,3414
348,31723,Blakely,GA,31.334337,-84.94899000000002,Early County,,
349,30667,Stephens,GA,33.784316,-83.16666,Boone County,25027,954
350,31539,Hazlehurst,GA,31.844772,-82.59809,Jeff Davis County,21532,14645
351,30631,Crawfordville,GA,33.570317,-82.88542,Wakulla County,19830,1647
352,30721,Dalton,GA,34.780699,-84.93994,Whitfield County,22617,53461
353,30338,Atlanta,GA,33.942751,-84.31769,Fulton County,58111,35435
354,31527,Jekyll Island,GA,31.064190000000004,-81.42071999999997,Glynn County,-666666666,568
355,31607,Valdosta,GA,30.831442,-83.318647,Lowndes County,,
356,30184,White,GA,34.236128,-84.72539,Montgomery County,27879,6612
357,31326,Rincon,GA,32.293147,-81.23006,,34103,20230
358,30009,Alpharetta,GA,33.844371,-84.47405,Fulton County,47177,16097
359,30281,Stockbridge,GA,33.547578,-84.21809,Henry County,31020,67533
360,30811,Gough,GA,33.050487,-81.929165,,,
361,31544,Jacksonville,GA,31.840974,-82.96137,Duval County,20139,778
362,30813,Grovetown,GA,33.459489000000005,-82.20102,Columbia County,33210,44065
363,31625,Barney,GA,31.003274,-83.5282,Sedgwick County,19658,972
364,30008,Marietta,GA,33.907336,-84.5788,Cobb County,25818,31982
365,30560,Morganton,GA,34.887912,-84.2098,Burke County,22082,4759
366,30115,Canton,GA,34.194029,-84.43884,Stark County,37370,41105
367,31060,Milan,GA,32.003035,-83.06336999999998,Metropolitan City of Milan,21939,1866
368,30503,Gainesville,GA,34.345432,-83.950541,Alachua County,,
369,30317,Atlanta,GA,33.750005,-84.31854,Fulton County,40014,13737
