,City,County,City Latitude,City Longtitude,Population,Median Income,WithinFiveMiles,WithinTenMiles,WithinTwentyMiles,WithinFiftyMiles,WithinHundredMiles,DistanceToNearestHospital
142,Armuchee,,34.448075,-85.15313,1776,30729,0,0,3,12,55,12.0439331139674
143,Arnoldsville,,33.863663,-83.24825,1277,22368,0,0,1,17,73,10.926524350274766
144,Ashburn,,31.709742,-83.66519,5866,22190,0,0,3,16,40,17.10492784049297
145,Auburn,,34.022974,-83.83416,15428,26042,0,2,6,40,77,6.69461327905031
146,Avera,,33.163467,-82.52017,965,24306,0,0,0,11,43,20.11527875185158
147,Avondale Estates,,33.772122,-84.26491,5920,35693,6,12,21,44,79,1.651946824928473
148,Axson,,31.297883,-82.71029,1468,24761,0,0,2,11,32,17.24798900940498
149,Baconton,,31.3709,-84.12921,2960,22798,0,0,4,10,28,10.714653085260121
150,Baldwin,,34.469971,-83.50035,4009,25438,0,1,3,16,61,7.9379344327203825
151,Ball Ground,,34.344939000000004,-84.37204,14606,33798,0,2,4,39,65,8.189708088713193
152,Barnesville,,33.05413,-84.14862,12940,18894,0,0,4,22,73,11.897985339448644
153,Barney,,31.003274,-83.5282,972,19658,0,1,4,12,24,9.435343230449035
154,Bartow,,32.884137,-82.50969,1805,19507,0,0,1,10,46,18.760864101704062
155,Barwick,,30.890906,-83.73816,296,22176,0,0,3,10,23,12.523593678248863
156,Baxley,,31.743283,-82.32582850000001,16247,20967,0,0,1,9,36,18.329890972992807
157,Bellville,,32.154990000000005,-81.97825999999998,10777,23948,1,2,3,12,32,4.722459886823185
158,Berlin,,31.067313,-83.62288000000002,496,20714,0,0,3,14,24,10.1654847480416
159,Bethlehem,,33.928949,-83.73524,13644,31686,0,2,5,40,78,5.681455131397076
160,Bishop,,33.804849,-83.48164,5726,39174,0,0,4,26,79,11.812939236791324
161,Blackshear,,31.307234,-82.25779,14541,21948,0,1,1,6,30,7.780052294648863
162,Bloomingdale,,32.129474,-81.33121,8139,27154,0,0,3,10,18,15.258789698923716
163,Blythe,,33.297318,-82.21503,2735,24571,0,0,4,9,37,14.768880153752441
164,Bogart,,33.927792,-83.51552,11803,31600,0,1,3,34,80,7.138609824560223
165,Bolingbroke,,32.946971000000005,-83.800628,34305,35734,0,1,5,20,78,8.072696219294942
166,Bonaire,,32.556668,-83.62435,17530,40557,2,3,7,16,66,4.130658596713274
167,Boneville,,33.527993,-82.5104,4499,19427,1,1,2,9,43,0.6006667419723019
168,Boston,,30.782963,-83.78882,3211,23785,0,0,2,8,19,11.281437747655744
169,Bostwick,,33.754234999999994,-83.511055,130,17714,0,0,3,32,79,12.938166535747568
170,Bowdon,,33.533934,-85.26088,7351,21243,0,0,2,10,56,11.042001974841764
171,Bowdon Junction,,33.653355,-85.136227,35575,21845,1,2,3,28,60,4.407742400632948
172,Bowersville,,34.370551,-83.05998000000002,2012,21774,0,1,1,10,56,6.333397430048303
173,Bowman,,34.193943,-83.03375,3256,23739,0,0,2,12,62,10.677352839111371
174,Box Springs,,32.527813,-84.59822,3240,22345,0,0,0,7,61,20.609176239490075
175,Bristol,,31.513511,-82.18481,927,20565,0,0,1,10,33,17.8412977346009
176,Brookfield,,31.44172,-83.503715,27308,22670,1,1,2,15,35,2.151443613868383
177,Brooklet,,32.3456,-81.62339,6161,30633,0,1,2,12,25,9.820504518286278
178,Brooks,,33.28235,-84.4657305,2864,35662,0,0,4,36,73,11.867103250848043
179,Broxton,,31.67654000000001,-82.88991,3474,25177,0,0,1,11,44,11.530094149071
180,Buchanan,,33.846270000000004,-85.20291,6649,24277,0,1,3,26,58,9.5205086416475
181,Buckhead,,33.527207000000004,-83.34676,2140,26886,0,2,3,22,78,6.8132568534214935
182,Buena Vista,,32.315915000000004,-84.52238,5487,21835,0,0,0,8,43,23.21104140861723
183,Buford,,34.056974,-84.00096966666666,50597,34867,0,1,6,40,74,6.534550105128714
184,Butler,,32.563544,-84.2461,4476,23952,0,0,0,17,67,22.45640409535571
185,Byromville,,32.199721000000004,-83.91327,1132,18878,0,1,2,16,50,9.43300764085212
186,Cadwell,,32.309003000000004,-83.02646999999997,1317,16112,0,0,3,13,53,12.297936703076415
187,Camak,,33.453039000000004,-82.64828,70,32708,0,1,2,12,56,9.737566123729197
188,Canon,,34.338008,-83.09656,5179,18854,0,1,1,10,56,7.350230489957084
189,Carlton,,33.994139000000004,-82.97819,2393,21594,0,0,1,11,61,10.133108626334167
190,Carnesville,,34.360544,-83.28544000000002,5042,25852,0,0,3,12,63,10.369557714166564
191,Cassville,,34.244178999999995,-84.84568399999998,41253,28140,1,1,3,35,64,4.158145155961525
192,Cataula,,32.651617,-84.88805,5865,33027,0,1,2,5,55,8.865645009240545
193,Cave Spring,,34.118206,-85.34000999999998,2896,27203,0,0,3,12,54,10.925700208463539
194,Cecil,,31.047378499999997,-83.3935095,247,20703,1,1,5,14,25,4.66763273521102
195,Centerville,,32.632111,-83.67795,6464,34868,2,3,7,18,70,2.9328819817879284
196,Chauncey,,32.108676,-83.06006,694,23958,0,1,1,12,49,8.701355969527901
197,Cherrylog,,34.801665,-84.37931,897,23906,0,1,1,12,57,8.006121610634917
198,Chester,,32.396381,-83.16892,3099,24198,0,0,4,18,54,10.423466743975396
199,Chestnut Mountain,,34.212993,-83.79485799999998,37056,33127,0,2,5,38,73,6.381528592510573
200,Chickamauga,,34.827019,-85.32883000000002,15956,25303,0,1,2,6,43,9.048838477430808
201,Chula,,31.592199,-83.48004,1319,26181,0,1,3,15,36,8.37396448814592
202,Cisco,,34.945576,-84.7113,234,33011,0,0,3,7,52,12.122608788834121
203,Clarkdale,,33.912473,-84.557181,67688,34615,2,2,21,45,73,3.9678115503622897
204,Clarkesville,,34.700311,-83.51879,12230,25393,0,1,2,10,56,8.28706287952293
205,Clarkston,,33.809604,-84.2387,24137,20929,6,17,22,44,77,1.2749105127568297
206,Clayton,,34.882362,-83.4156,7305,19946,0,0,1,8,48,19.705332146494005
207,Clermont,,34.481514000000004,-83.78599,4377,26373,0,0,3,19,66,11.200044806052528
208,Cleveland,,34.595859000000004,-83.76194,24761,25071,0,0,2,18,62,12.858577822465367
