,City,County,City Latitude,City Longitude,Population,Median Income,Acute Care Beds,WithinFiveMiles,WithinTenMiles,WithinTwentyMiles,WithinFiftyMiles,WithinHundredMiles,DistanceToNearestHospital,BedsPer1000
105,Sandersville,Washington County,32.984528999999995,-82.8375,9636,22395,116,1,1,1,9,49,2.0937241958049166,12.038190120381902
106,Jesup,Wayne County,31.578181,-81.880222,23755,21266,115,1,1,1,7,27,1.9527374976642782,4.84108608713955
107,Austell,Cobb County,33.797456,-84.60621,48043,27179,368,1,2,21,45,76,4.106753029450736,7.659804758237413
108,Douglasville,Douglas County,33.689659999999996,-84.74459499999998,110248,30083,102,1,1,4,41,73,3.477649948891766,0.9251868514621581
109,Marietta,Cobb County,33.912473,-84.557181,322628,37165,633,2,2,22,46,74,3.9678115503622897,1.962011976641829
110,Roswell,Chaves County,33.844371,-84.47405,99770,42613,202,0,15,23,46,77,5.139200730369802,2.024656710433998
111,Hiram,Paulding County,33.867574,-84.77103000000002,23326,31176,216,1,3,5,41,72,2.3864802877754845,9.260053159564434
112,Griffin,Muskogee County,33.215454,-84.25426999999998,62128,23932,160,1,1,2,37,75,1.8080337999100664,2.5753283543651815
113,Jackson,Montgomery County,33.294522,-83.97568000000003,23245,24625,21,1,1,4,42,79,0.6515573688564372,0.903420090342009
114,Savannah,Chatham County,31.971394,-81.07155999999998,254069,28652,384,2,2,2,4,17,4.182693278623199,1.5114004463354442
115,Savannah,Chatham County,31.971394,-81.07155999999998,254069,28652,654,2,2,2,4,17,4.182693278623199,2.5741038851650537
116,Fort Oglethorpe,Catoosa County,34.948979,-85.25211999999998,7842,24406,36,1,1,2,7,44,0.6890455419840258,4.590665646518746
117,Blue Ridge,Fannin County,34.851171,-84.32905,11753,26086,50,0,1,1,12,56,5.260206276492625,4.254232961796988
118,Demorest,Habersham County,34.593092,-83.562922,7431,24391,137,1,1,2,11,60,1.690721001903394,18.436280446777015
119,Abbeville,Abbeville County,31.972626,-83.33081999999997,4563,20880,0,0,0,2,13,46,17.185317935457224,0.0
120,Acworth,Cobb County,34.097998,-84.6183,99683,33711,0,0,1,6,44,69,9.620872186943112,0.0
121,Adairsville,Bartow County,34.368646999999996,-84.92452,16138,24570,0,0,1,4,26,60,9.758000044406566,0.0
122,Adrian,Lenawee County,32.549853999999996,-82.56948,3071,19562,0,0,0,1,11,44,13.30398681740534,0.0
123,Ailey,New York County,32.196135999999996,-82.50985,1715,26628,0,0,1,1,8,46,7.907635284722813,0.0
124,Alamo,Tulsa County,32.146031,-82.792,4766,28321,0,0,0,0,11,47,22.670150490430117,0.0
125,Alapaha,Berrien County,31.37966500000001,-83.21803,1972,23214,0,0,0,3,13,33,12.228457335082936,0.0
126,Allenhurst,Monmouth County,31.764663,-81.6098,4006,23444,0,0,1,1,9,22,5.180763771633647,0.0
127,Allentown,Lehigh County,32.600621999999994,-83.22095999999998,88,19375,0,0,0,1,12,52,16.593489407662805,0.0
128,Alma,Crawford County,31.551458,-82.44618,9914,20124,0,0,0,0,9,34,23.097285919829876,0.0
129,Alpharetta,Fulton County,34.080034999999995,-84.21929,189192,51690,0,1,5,14,41,73,2.639779026960968,0.0
130,Alston,Dorchester County,32.083878999999996,-82.47988000000002,69,26786,0,0,0,2,10,45,10.569741102420931,0.0
131,Alto,Cherokee County,34.455729,-83.58913000000003,9042,20189,0,0,1,4,19,63,9.133990613534754,0.0
132,Ambrose,Baltimore County,31.57344,-83.01501999999998,2131,21716,0,0,1,3,12,42,9.900027213368674,0.0
133,Andersonville,Cook County,32.195361,-84.137,967,18912,0,0,1,2,11,43,9.24795824372412,0.0
134,Appling,Shelby County,33.620669,-82.30514000000002,6147,23555,0,0,0,3,6,33,13.191032225773958,0.0
135,Arabi,St. Bernard Parish,31.836577000000002,-83.72045,1084,21425,0,0,0,1,14,41,10.3504575959798,0.0
136,Argyle,Denton County,31.071563,-82.65231999999997,113,15833,0,0,1,1,7,30,7.124303220161331,0.0
137,Armuchee,Floyd County,34.448075,-85.15313,1776,30729,0,0,0,3,12,57,12.0439331139674,0.0
138,Arnoldsville,Oglethorpe County,33.863663,-83.24825,1277,22368,0,0,0,0,15,71,24.031744689054303,0.0
139,Ashburn,Loudoun County,31.709742,-83.66519,5866,22190,0,0,0,3,16,39,17.10492784049297,0.0
140,Auburn,Lee County,34.022974,-83.83416,15428,26042,0,0,2,7,41,76,6.69461327905031,0.0
141,Avera,Lincoln County,33.163467,-82.52017,965,24306,0,0,0,0,10,40,20.11527875185158,0.0
142,Avondale Estates,DeKalb County,33.772121999999996,-84.26491,5920,35693,0,6,12,22,46,79,1.651946824929133,0.0
143,Axson,Atkinson County,31.297883000000002,-82.71029,1468,24761,0,0,0,2,11,33,17.24798900940498,0.0
144,Baconton,Mitchell County,31.3709,-84.12921,2960,22798,0,0,0,4,10,28,10.714653085260121,0.0
145,Baldwin,Douglas County,34.469971,-83.50035,4009,25438,0,0,1,3,16,61,7.9379344327203825,0.0
146,Ball Ground,Cherokee County,34.344939000000004,-84.37204,14606,33798,0,0,2,4,41,66,8.189708088713193,0.0
147,Barnesville,Lamar County,33.05413,-84.14862,12940,18894,0,0,0,4,22,72,11.897985339448644,0.0
148,Barney,Sedgwick County,31.003273999999998,-83.5282,972,19658,0,0,1,4,12,24,9.435343230449035,0.0
149,Bartow,Polk County,32.884137,-82.50969,1805,19507,0,0,0,1,9,43,18.760864101704062,0.0
150,Barwick,Th̩r̬se-De Blainville,30.890906,-83.73816,296,22176,0,0,0,3,10,23,12.523593678248863,0.0
151,Baxley,Appling County,31.768849,-82.35198000000003,16247,20967,0,0,0,1,9,36,16.210675870215173,0.0
152,Bishop,Inyo County,33.804849,-83.48164,5726,39174,0,0,0,3,26,77,15.462151567136805,0.0
153,Blackshear,Tom Green County,31.307234,-82.25779,14541,21948,0,0,1,1,6,30,7.780052294648863,0.0
154,Bloomingdale,Allen County,32.129474,-81.33121,8139,27154,0,0,0,3,10,18,15.258789698923716,0.0
155,Blythe,Riverside County,33.297318,-82.21503,2735,24571,0,0,0,4,8,33,14.768880153752441,0.0
156,Bogart,Oconee County,33.927792,-83.51552,11803,31600,0,0,0,2,34,78,12.351484676905567,0.0
157,Boston,Suffolk County,30.782963,-83.78882,3211,23785,0,0,0,2,8,19,11.281437747655744,0.0
158,Bostwick,Putnam County,33.754234999999994,-83.511055,130,17714,0,0,0,2,32,77,12.938166535747568,0.0
159,Bowdon,Carroll County,33.533934,-85.26088,7351,21243,0,0,0,1,10,58,11.042001974841764,0.0
160,Bowersville,Hart County,34.370551,-83.05998000000002,2012,21774,0,0,1,1,8,56,6.333397430048303,0.0
161,Bowman,Bowman County,34.193943,-83.03375,3256,23739,0,0,0,2,10,62,10.677352839111371,0.0
162,Box Springs,Rogers County,32.527813,-84.59822,3240,22345,0,0,0,0,8,60,20.609176239490075,0.0
163,Bristol,Sullivan County,31.513510999999998,-82.18481,927,20565,0,0,0,1,10,33,17.84129773460134,0.0
164,Brooklet,Bulloch County,32.3456,-81.62339,6161,30633,0,0,1,2,12,24,9.820504518286278,0.0
165,Brooks,Wilson County,33.275707000000004,-84.46706,2864,35662,0,0,0,4,37,74,11.83666497070443,0.0
166,Broxton,Los Angeles County,31.67654000000001,-82.88991,3474,25177,0,0,0,1,11,44,11.530094149071,0.0
167,Buchanan,Botetourt County,33.846270000000004,-85.20291,6649,24277,0,0,0,2,25,60,11.560530083329164,0.0
168,Buckhead,Fulton County,33.527207000000004,-83.34676,2140,26886,0,0,2,3,20,77,6.8132568534214935,0.0
169,Buena Vista,Chaffee County,32.315915000000004,-84.52238,5487,21835,0,0,0,0,9,43,23.21104140861723,0.0
170,Buford,Gwinnett County,34.089419,-83.94700999999998,99103,34818,0,0,2,8,41,74,6.5917029168952865,0.0
171,Butler,Butler County,32.563544,-84.2461,4476,23952,0,0,0,0,17,67,22.45640409535571,0.0
172,Byromville,Dooly County,32.199721000000004,-83.91327,1132,18878,0,0,1,2,16,50,9.43300764085212,0.0
173,Cadwell,Benton County,32.309003000000004,-83.02646999999997,1317,16112,0,0,0,2,12,51,12.297936703076415,0.0
174,Camak,Warren County,33.453039000000004,-82.64828,70,32708,0,0,1,1,11,55,9.737566123729197,0.0
175,Canon,Los Angeles County,34.338008,-83.09656,5179,18854,0,0,1,1,8,56,7.350230489957084,0.0
176,Carlton,Tulsa County,33.994139000000004,-82.97819,2393,21594,0,0,0,1,9,61,10.133108626334167,0.0
177,Carnesville,Franklin County,34.360544,-83.28544000000002,5042,25852,0,0,0,3,11,63,10.369557714166564,0.0
178,Cataula,Harris County,32.651617,-84.88805,5865,33027,0,0,1,2,6,56,8.865645009240545,0.0
179,Cave Spring,Floyd County,34.118206,-85.34000999999998,2896,27203,0,0,0,3,11,56,10.925700208463539,0.0
180,Cecil,Tulsa County,31.047996,-83.39135,247,20703,0,1,1,4,14,27,4.685094454156294,0.0
181,Centerville,Montgomery County,32.632111,-83.67795,6464,34868,0,1,2,7,17,69,2.9328819817879284,0.0
182,Chauncey,Lawrence County,32.108676,-83.06006,694,23958,0,0,1,1,11,48,8.701355969527901,0.0
183,Cherrylog,Gilmer County,34.801665,-84.37931,897,23906,0,0,1,1,12,57,8.006121610634917,0.0
184,Chester,Cheshire West and Chester,32.396381,-83.16892,3099,24198,0,0,0,3,17,52,10.423466743975396,0.0
185,Chickamauga,Walker County,34.827019,-85.32883000000002,15956,25303,0,0,1,2,6,44,9.048838477430808,0.0
186,Chula,San Diego County,31.592199,-83.48004,1319,26181,0,0,1,3,15,35,8.37396448814592,0.0
187,Cisco,Benton County,34.945576,-84.7113,234,33011,0,0,0,3,7,53,12.122608788834121,0.0
188,Clarkesville,Habersham County,34.700311,-83.51879,12230,25393,0,0,1,2,10,56,8.28706287952293,0.0
189,Clarkston,Oakland County,33.809604,-84.2387,24137,20929,0,6,17,24,45,77,1.2749105127568297,0.0
190,Clayton,Johnston County,34.882362,-83.4156,7305,19946,0,0,0,1,8,48,19.705332146494005,0.0
191,Clermont,Lake County,34.481514000000004,-83.78599,4377,26373,0,0,0,3,20,65,11.200044806052528,0.0
192,Cleveland,Cuyahoga County,34.595859000000004,-83.76194,24761,25071,0,0,0,2,18,61,12.858577822465367,0.0
193,Clyo,Effingham County,32.508239,-81.3128,2621,26986,0,0,1,1,9,21,9.927892028430856,0.0
194,Cobb,McDonald County,31.959366999999997,-83.96028000000003,715,15755,0,0,0,2,15,42,10.586078089448046,0.0
195,Cobbtown,Tattnall County,32.301639,-82.11842,845,22266,0,0,1,4,12,38,7.894820759776606,0.0
196,Cohutta,Whitfield County,34.935105,-84.94641999999997,7154,31602,0,0,0,3,8,50,10.239348211548961,0.0
197,Colbert,Bryan County,34.041416,-83.21996999999998,6874,26875,0,0,0,1,14,67,18.78793462980129,0.0
198,Collins,Nowata County,32.186824,-82.10699,3322,22727,0,0,1,4,12,39,7.324207542441584,0.0
199,Comer,Madison County,34.072573,-83.11913,4735,22107,0,0,0,1,11,65,14.295303936157216,0.0
200,Concord,Contra Costa County,33.109598999999996,-84.45541,3609,31576,0,0,0,2,28,73,14.099225763750159,0.0
201,Conley,Clayton County,33.647275,-84.32753000000002,9230,27808,0,0,7,20,45,79,5.893602312977469,0.0
202,Coolidge,Essex County,31.012041999999997,-83.87218,1935,24940,0,0,1,2,12,24,9.544508888271636,0.0
203,Cornelia,Habersham County,34.514215,-83.54118000000003,10818,25113,0,1,1,2,14,61,4.6124254484290566,0.0
204,Crandall,Kaufman County,34.93882,-84.76558,3551,26672,0,0,0,2,7,53,10.995928608467969,0.0
205,Crawford,Crawford County,33.892957,-83.15548000000003,2264,21301,0,0,0,0,14,70,22.14467946833296,0.0
206,Crawfordville,Wakulla County,33.570316999999996,-82.88542,1647,19830,0,0,0,0,9,68,21.48494871652148,0.0
207,Culloden,Highland Council,32.861385999999996,-84.11731999999998,2033,20720,0,0,0,2,15,70,12.8733427718528,0.0
208,Cusseta,Chattahoochee County,32.285534999999996,-84.76332,2431,21033,0,0,0,1,6,34,18.553612883052537,0.0
209,Dacula,Gwinnett County,33.981721,-83.88302,49262,38465,0,0,2,7,40,76,7.826970881172923,0.0
210,Daisy,Benton County,32.150061,-81.83478000000002,121,18750,0,1,1,3,14,29,3.9120966185060593,0.0
211,Dallas,Dallas County,33.892503999999995,-84.8346,89783,32294,0,1,1,5,40,69,3.1012172123880877,0.0
212,Danielsville,Madison County,34.17085,-83.24654,9227,26681,0,0,0,2,13,67,13.137592688440852,0.0
213,Danville,Contra Costa County,32.600844,-83.24549,1913,20712,0,0,0,1,12,53,16.02554576587897,0.0
214,Darien,Fairfield County,31.407597999999997,-81.39094,5983,23883,0,0,0,1,6,18,16.92641418528554,0.0
215,Davisboro,Washington County,32.976548,-82.61607,2674,7448,0,0,0,1,9,44,11.000489676311098,0.0
216,Dawsonville,Dawson County,34.416521,-84.10849,28843,30879,0,0,0,4,41,65,10.54771533952911,0.0
217,De Soto,Johnson County,31.930451,-84.02920999999998,444,9976,0,0,0,2,12,41,14.919746729342288,0.0
218,Dearing,Montgomery County,33.397137,-82.40335,4499,19427,0,0,0,2,8,41,10.376457025792618,0.0
219,Denton,Denton County,31.718382000000002,-82.73595,650,19412,0,0,0,2,12,48,12.185261044008268,0.0
220,Dewy Rose,Elbert County,34.212835999999996,-82.94112,1802,19906,0,0,1,2,6,56,7.848051428450756,0.0
221,Dexter,Cowley County,32.427633,-83.05632,2035,23851,0,0,0,2,15,53,17.22872304320421,0.0
222,Dillard,Benton County,34.977198,-83.35161,1534,21918,0,0,0,0,6,41,22.915654187339765,0.0
223,Dixie,Washington County,30.802821,-83.69126,732,39050,0,0,1,2,10,21,7.874791627832181,0.0
224,Doerun,Colquitt County,31.325003999999996,-83.90937,2791,25365,0,0,0,3,14,27,13.501335282090418,0.0
225,Dry Branch,Twiggs County,32.719907,-83.4905,1688,18750,0,0,0,6,17,72,10.873689783978842,0.0
226,Du Pont,Johnson County,30.963729999999998,-82.86455,560,19868,0,0,1,2,9,27,7.674463151316551,0.0
227,Dudley,Worcester County,32.516865,-83.09905,1715,27457,0,0,0,1,14,53,17.09658230064162,0.0
228,Eastanollee,Stephens County,34.511618,-83.25811,3120,22088,0,0,2,3,11,56,7.593424890514526,0.0
229,Eden,Washington County,32.183211,-81.39979,908,18750,0,0,0,1,10,23,13.314213935012305,0.0
230,Elko,Elko County,32.335147,-83.74571,866,51757,0,0,1,4,14,51,8.78965640315785,0.0
231,Ellabell,Bryan County,32.172661,-81.48447,7114,26737,0,0,0,1,10,24,16.326438295994492,0.0
232,Ellaville,Schley County,32.246795,-84.32008,5180,27406,0,0,0,2,13,40,12.958706489132577,0.0
233,Ellenton,Manatee County,31.176563,-83.58801,156,11131,0,0,0,2,16,27,10.634210330400863,0.0
234,Ellenwood,Clayton County,33.639658000000004,-84.26822,41782,31439,0,0,2,20,45,79,8.1430527252681,0.0
