,Median Income,Population,State_Code,ZIP,City,State
393,22362,3994,13,26156,Echols County consolidated government, Georgia
256,-666666666,14,13,26224,Edge Hill, Georgia
501,17500,1163,13,26448,Edison, Georgia
8,17493,4383,13,26616,Elberton, Georgia
601,20417,1788,13,26980,Ellaville, Georgia
76,11131,156,13,27008,Ellenton, Georgia
504,20993,2918,13,27092,Ellijay, Georgia
614,28452,1685,13,27344,Emerson, Georgia
373,13996,387,13,27512,Empire, Georgia
196,16750,925,13,27596,Enigma, Georgia
313,27857,316,13,27708,Ephesus, Georgia
374,31000,182,13,27736,Epworth, Georgia
559,27548,1094,13,27932,Eton, Georgia
452,27713,4264,13,27988,Euharlee, Georgia
518,40877,34379,13,28044,Evans, Georgia
406,19713,2853,13,28296,Experiment, Georgia
10,22067,9173,13,28520,Fair Oaks, Georgia
598,26894,14708,13,28380,Fairburn, Georgia
418,20278,994,13,28492,Fairmount, Georgia
108,21664,6518,13,28632,Fairview, Georgia
132,25417,273,13,28744,Fargo, Georgia
249,33407,17349,13,28968,Fayetteville, Georgia
143,15330,8865,13,29528,Fitzgerald, Georgia
176,30000,666,13,30088,Flemington, Georgia
127,20250,878,13,30312,Flovilla, Georgia
314,38085,7151,13,30340,Flowery Branch, Georgia
199,15631,4951,13,30424,Folkston, Georgia
569,19982,19483,13,30536,Forest Park, Georgia
177,23140,4054,13,30732,Forsyth, Georgia
620,18258,1010,13,30816,Fort Gaines, Georgia
167,25618,9852,13,30956,Fort Oglethorpe, Georgia
180,26462,9326,13,31068,Fort Stewart, Georgia
440,15435,8740,13,31096,Fort Valley, Georgia
546,14787,1001,13,31292,Franklin, Georgia
87,14100,900,13,31320,Franklin Springs, Georgia
315,18214,618,13,31684,Funston, Georgia
404,24778,38624,13,31908,Gainesville, Georgia
511,23944,8936,13,32048,Garden, Georgia
316,28750,142,13,32188,Garfield, Georgia
587,31250,87,13,32384,Gay, Georgia
36,16188,162,13,32412,Geneva, Georgia
455,32159,13469,13,32482,George, Georgia
361,18863,2276,13,32528,George-Quitman County, Georgia
298,16208,696,13,32748,Gibson, Georgia
621,28000,227,13,32860,Gillsville, Georgia
260,16964,188,13,32916,Girard, Georgia
226,24158,5078,13,33336,Glennville, Georgia
47,16853,713,13,33392,Glenwood, Georgia
317,24784,364,13,33896,Good Hope, Georgia
456,22519,2068,13,33980,Gordon, Georgia
459,24531,301,13,34260,Graham, Georgia
206,27263,3219,13,34428,Grantville, Georgia
240,29010,3261,13,34512,Gray, Georgia
49,40141,3658,13,34596,Grayson, Georgia
290,19485,3356,13,34876,Greensboro, Georgia
588,18300,1093,13,35016,Greenville, Georgia
5,22484,8694,13,35240,Gresham Park, Georgia
225,18934,22725,13,35324,Griffin, Georgia
25,31430,13658,13,35716,Grove, Georgia
96,21000,209,13,35800,Gumbranch, Georgia
251,21222,2236,13,35814,Gumlog, Georgia
81,31096,2309,13,35884,Guyton, Georgia
277,20463,1141,13,36024,Hagan, Georgia
527,21764,2923,13,36052,Hahira, Georgia
599,35227,1549,13,36220,Hamilton, Georgia
93,23998,7604,13,36276,Hampton, Georgia
43,21240,3372,13,36416,Hannahs Mill, Georgia
215,30594,6581,13,36472,Hapeville, Georgia
146,26563,165,13,36528,Haralson, Georgia
375,17274,3431,13,36668,Hardwick, Georgia
26,24271,3054,13,36696,Harlem, Georgia
128,20326,492,13,36920,Harrison, Georgia
32,15652,4411,13,37144,Hartwell, Georgia
77,19810,5310,13,37396,Hawkinsville, Georgia
477,22223,4164,13,37564,Hazlehurst, Georgia
228,32292,390,13,37788,Helen, Georgia
376,41337,1853,13,37910,Henderson, Georgia
103,22303,3973,13,38040,Hephzibah, Georgia
377,52316,3195,13,38105,Heron Bay, Georgia
318,24471,753,13,38124,Hiawassee, Georgia
558,19276,474,13,38348,Higgston, Georgia
564,12150,200,13,38866,Hilltop, Georgia
319,17188,438,13,38920,Hiltonia, Georgia
241,28070,33258,13,38964,Hinesville, Georgia
567,36648,3897,13,39076,Hiram, Georgia
160,30446,762,13,39216,Hoboken, Georgia
136,16983,3085,13,39244,Hogansville, Georgia
79,42880,11469,13,39524,Holly Springs, Georgia
200,15446,939,13,39692,Homeland, Georgia
299,24700,1269,13,39720,Homer, Georgia
154,18714,2442,13,39748,Homerville, Georgia
95,28250,1567,13,40056,Hoschton, Georgia
378,-666666666,0,13,40196,Howard, Georgia
529,17500,189,13,40532,Hull, Georgia
618,14201,364,13,40812,Ideal, Georgia
538,23092,405,13,40840,Ila, Georgia
162,25880,2650,13,41036,Indian Springs, Georgia
223,27500,254,13,41344,Iron, Georgia
233,25431,8578,13,41347,Irondale, Georgia
42,22059,567,13,41400,Irwinton, Georgia
202,51614,2539,13,41484,Isle of Hope, Georgia
320,21576,939,13,41540,Ivey, Georgia
291,22191,4999,13,41596,Jackson, Georgia
321,14063,80,13,41708,Jacksonville, Georgia
7,19265,197,13,41792,Jakin, Georgia
619,20932,3796,13,41932,Jasper, Georgia
437,30798,10693,13,41988,Jefferson, Georgia
56,18897,1127,13,42100,Jeffersonville, Georgia
379,27679,312,13,42156,Jenkinsburg, Georgia
322,19583,78,13,42184,Jersey, Georgia
545,18172,9814,13,42268,Jesup, Georgia
357,50679,83637,13,42425,Johns Creek, Georgia
235,18936,4737,13,42604,Jonesboro, Georgia
37,18375,203,13,42800,Junction, Georgia
521,33030,33700,13,43192,Kennesaw, Georgia
323,13750,169,13,43360,Keysville, Georgia
509,21848,3348,13,43580,Kings Bay Base, Georgia
169,27872,16784,13,43640,Kingsland, Georgia
489,15257,490,13,43668,Kingston, Georgia
324,20000,290,13,43892,Kite, Georgia
380,-666666666,64,13,44060,Knoxville, Georgia
325,17369,7191,13,44312,LaFayette, Georgia
209,20478,30412,13,44340,LaGrange, Georgia
417,13608,2749,13,44508,Lake, Georgia
524,28542,855,13,44704,Lake Park, Georgia
119,15483,3271,13,44592,Lakeland, Georgia
130,21124,5147,13,44900,Lakeview, Georgia
597,19861,2697,13,44956,Lakeview Estates, Georgia
287,19402,2131,13,45460,Lavonia, Georgia
50,26729,29401,13,45488,Lawrenceville, Georgia
502,19620,628,13,45600,Leary, Georgia
172,30233,2982,13,45768,Leesburg, Georgia
303,16181,789,13,45936,Lenox, Georgia
426,21500,589,13,46020,Leslie, Georgia
532,28125,205,13,46188,Lexington, Georgia
138,27744,12561,13,46356,Lilburn, Georgia
432,18750,194,13,46384,Lilly, Georgia
211,14696,389,13,46524,Lincoln Park, Georgia
525,24880,1823,13,46552,Lincolnton, Georgia
552,22241,4466,13,46580,Lindale, Georgia
326,26564,17216,13,46832,Lithia Springs, Georgia
263,21974,2445,13,46860,Lithonia, Georgia
115,29064,6540,13,47140,Locust Grove, Georgia
214,30417,11665,13,47196,Loganville, Georgia
89,20208,79,13,47252,Lone Oak, Georgia
581,47284,1766,13,47336,Lookout Mountain, Georgia
187,17716,2628,13,47560,Louisville, Georgia
582,27776,6484,13,47616,Lovejoy, Georgia
438,29779,2605,13,47784,Ludowici, Georgia
257,28353,2880,13,47896,Lula, Georgia
227,16891,1230,13,47952,Lumber, Georgia
424,17208,1142,13,47980,Lumpkin, Georgia
99,19659,805,13,48008,Luthersville, Georgia
622,19046,541,13,48092,Lyerly, Georgia
579,21207,4318,13,48232,Lyons, Georgia
285,31285,40464,13,48288,Mableton, Georgia
400,23934,153490,13,49008,Macon-Bibb County, Georgia
416,28015,4041,13,49196,Madison, Georgia
592,30208,70,13,49504,Manassas, Georgia
603,17644,3977,13,49532,Manchester, Georgia
585,20000,445,13,49616,Mansfield, Georgia
281,30848,60410,13,49756,Marietta, Georgia
414,16361,1470,13,49924,Marshallville, Georgia
246,20875,546,13,50008,Martin, Georgia
9,33250,36068,13,50036,Martinez, Georgia
381,-666666666,194,13,50176,Matthews, Georgia
565,37917,284,13,50260,Maxeys, Georgia
75,21123,2307,13,50484,Maysville, Georgia
485,16504,1353,13,48428,McCaysville, Georgia
116,29309,24102,13,48624,McDonough, Georgia
57,18438,678,13,48848,McIntyre, Georgia
402,16417,8538,13,49100,McRae-Helena, Georgia
105,23125,99,13,50596,Meansville, Georgia
34,14479,989,13,50680,Meigs, Georgia
382,24125,59,13,50820,Mendes, Georgia
69,25441,439,13,50848,Menlo, Georgia
431,14197,3978,13,51072,Metter, Georgia
3,21741,329,13,51240,Midville, Georgia
439,30875,2077,13,51352,Midway, Georgia
327,18080,805,13,51408,Milan, Georgia
52,14095,18813,13,51492,Milledgeville, Georgia
550,18998,2838,13,51520,Millen, Georgia
189,34321,954,13,51604,Milner, Georgia
358,52211,38171,13,51670,Milton, Georgia
383,33712,335,13,51744,Mineral Bluff, Georgia
67,18750,197,13,51968,Mitchell, Georgia
91,17188,468,13,52108,Molena, Georgia
41,20204,13370,13,52192,Monroe, Georgia
480,19732,3117,13,52304,Montezuma, Georgia
435,31151,4533,13,52332,Montgomery, Georgia
170,18359,2630,13,52416,Monticello, Georgia
192,30583,280,13,52500,Montrose, Georgia
536,26429,1191,13,52556,Moody AFB, Georgia
604,27917,408,13,52668,Moreland, Georgia
64,16364,2055,13,52696,Morgan, Georgia
328,14909,277,13,52724,Morganton, Georgia
570,22115,7238,13,53004,Morrow, Georgia
194,16781,775,13,53032,Morven, Georgia
258,19105,14109,13,53060,Moultrie, Georgia
487,25711,1281,13,53284,Mount Airy, Georgia
539,16528,2519,13,53508,Mount Vernon, Georgia
163,22190,2377,13,53620,Mount Zion, Georgia
