City,Unnamed: 0,ZIP,State,Latitude,Longitude,County,Median Income,Total Population
Coleman,791,31736,GA,31.650442,-84.87908,Sedgwick County,,
Collins,948,30421,GA,32.186824,-82.10699,Nowata County,22727.0,3322.0
Colquitt,694,31737,GA,31.152253,-84.69653000000002,Miller County,,
Columbus,36,31906,GA,32.468441999999996,-84.95128000000003,Franklin County,21216.5,176213.0
Comer,278,30629,GA,34.072573,-83.11913,Madison County,22107.0,4735.0
Commerce,249,30529,GA,34.210423,-83.46842,Jackson County,25697.0,17765.0
Concord,799,30206,GA,33.109598999999996,-84.45541,Contra Costa County,31576.0,3609.0
Conley,178,30288,GA,33.647275,-84.32753000000002,Clayton County,27808.0,9230.0
Conyers,197,30012,GA,33.696714,-84.01732,Rockdale County,31059.0,88901.0
Coolidge,718,31738,GA,31.012041999999997,-83.87218,Essex County,24940.0,1935.0
Coosa,106,30129,GA,34.333308,-85.233721,,,
Cordele,411,31010,GA,31.917178000000003,-83.785365,Crisp County,17401.0,21549.0
Cornelia,7,30531,GA,34.514215,-83.54118000000003,Habersham County,25113.0,10818.0
Cotton,335,31739,GA,31.260443,-84.253089,Washington County,,
Covington,34,30014,GA,33.581406,-83.851,Kenton County,25747.5,92687.0
Crandall,579,30711,GA,34.93882,-84.76558,Kaufman County,26672.0,3551.0
Crawford,468,30630,GA,33.892957,-83.15548000000003,Crawford County,21301.0,2264.0
Crawfordville,351,30631,GA,33.570316999999996,-82.88542,Wakulla County,19830.0,1647.0
Crescent,631,31304,GA,31.49507100000001,-81.381908,Pottawattamie County,,
Culloden,535,31016,GA,32.861385999999996,-84.11731999999998,Highland Council,20720.0,2033.0
Cumming,242,30041,GA,34.201503,-84.09764,Forsyth County,41686.0,162019.0
Cusseta,183,31805,GA,32.285534999999996,-84.76332,Chattahoochee County,21033.0,2431.0
Cuthbert,80,31740,GA,31.781815,-84.76444000000002,Randolph County,,
Dacula,103,30019,GA,33.981721,-83.88302,Gwinnett County,38465.0,49262.0
Dahlonega,453,30597,GA,34.527671000000005,-83.980879,Lumpkin County,22180.0,26683.0
Daisy,958,30423,GA,32.150061,-81.83478000000002,Benton County,18750.0,121.0
Dallas,90,30157,GA,33.892503999999995,-84.8346,Dallas County,32294.5,89783.0
Dalton,352,30721,GA,34.780699,-84.93994,Whitfield County,25269.5,81843.0
Damascus,869,31741,GA,31.299009,-84.68772,,,
Danielsville,51,30633,GA,34.17085,-83.24654,Madison County,26681.0,9227.0
Danville,85,31017,GA,32.600844,-83.24549,Contra Costa County,20712.0,1913.0
Darien,396,31305,GA,31.407597999999997,-81.39094,Fairfield County,23883.0,5983.0
Davisboro,877,31018,GA,32.976548,-82.61607,Washington County,7448.0,2674.0
Dawson,119,31742,GA,31.756995,-84.43356999999997,Lac qui Parle County,,
Dawsonville,558,30534,GA,34.416521,-84.10849,Dawson County,30879.0,28843.0
De Soto,575,31743,GA,31.930451,-84.02920999999998,Johnson County,9976.0,444.0
Dearing,838,30808,GA,33.397137,-82.40335,Montgomery County,19427.0,4499.0
Decatur,157,30034,GA,33.693448,-84.24743000000002,DeKalb County,26893.0,180825.0
Demorest,906,30544,GA,34.593092,-83.562922,Habersham County,24391.0,7431.0
Denton,423,31532,GA,31.718382000000002,-82.73595,Denton County,19412.0,650.0
Dewy Rose,121,30634,GA,34.212835999999996,-82.94112,Elbert County,19906.0,1802.0
Dexter,626,31019,GA,32.427633,-83.05632,Cowley County,23851.0,2035.0
Dillard,116,30537,GA,34.977198,-83.35161,Benton County,21918.0,1534.0
Dixie,314,31629,GA,30.802821,-83.69126,Washington County,39050.0,732.0
Doerun,24,31744,GA,31.325003999999996,-83.90937,Colquitt County,25365.0,2791.0
Donalsonville,533,31745,GA,30.974364,-84.87703,Seminole County,,
Douglas,59,31534,GA,31.571596000000003,-82.85463100000003,Douglas County,21687.0,28364.0
Douglasville,446,30154,GA,33.689659999999996,-84.74459499999998,Douglas County,30083.0,110248.0
Dover,429,30424,GA,32.767634,-81.629062,Kent,,
Dry Branch,76,31020,GA,32.719907,-83.4905,Twiggs County,18750.0,1688.0
Du Pont,342,31630,GA,30.963729999999998,-82.86455,Johnson County,19868.0,560.0
Dublin,195,31027,GA,32.569122,-82.80959,,,
Dudley,695,31022,GA,32.516865,-83.09905,Worcester County,27457.0,1715.0
Duluth,219,30098,GA,33.960353000000005,-84.037859,St. Louis County,38852.0,114864.0
East Ellijay,710,30539,GA,34.680011,-84.47154,Gilmer County,,
East Point,6,30444,GA,33.696073,-84.450276,Fulton County,,
Eastanollee,942,30538,GA,34.511618,-83.25811,Stephens County,22088.0,3120.0
Eastman,894,31023,GA,32.193953,-83.1848,Dodge County,21081.0,14276.0
Eatonton,878,31024,GA,33.318579,-83.35432,Putnam County,26389.0,20438.0
Eden,302,31307,GA,32.183211,-81.39979,Washington County,18750.0,908.0
Edison,700,31746,GA,31.563327,-84.75869,Middlesex County,,
Elberton,312,30635,GA,34.119972,-82.825,Elbert County,21478.0,14964.0
Elko,128,31025,GA,32.335147,-83.74571,Elko County,51757.0,866.0
Ellabell,245,31308,GA,32.172661,-81.48447,Bryan County,26737.0,7114.0
Ellaville,316,31806,GA,32.246795,-84.32008,Schley County,27406.0,5180.0
Ellenton,910,31747,GA,31.176563,-83.58801,Manatee County,11131.0,156.0
Ellenwood,125,30294,GA,33.639658000000004,-84.26822,Clayton County,31439.0,41782.0
Ellerslie,687,31807,GA,32.634965,-84.80136999999998,Weld County,29924.0,3215.0
Ellijay,732,30540,GA,34.688716,-84.46715999999998,Gilmer County,22275.0,20169.0
Emerson,618,30137,GA,34.124283,-84.75579,Tulsa County,24091.0,1807.0
Enigma,400,31749,GA,31.439212,-83.34040999999998,Tulsa County,22908.0,2649.0
Epworth,683,30541,GA,34.925622,-84.42981,Blair County,23077.0,1580.0
Esom Hill,792,30138,GA,33.99994,-85.172297,Polk County,,
Eton,637,30724,GA,34.822176,-84.75967,,,
Evans,136,30809,GA,33.551145,-82.13949000000002,Washington County,41069.0,45542.0
Experiment,432,30212,GA,33.278205,-84.288803,San Francisco County,,
Fairburn,751,30213,GA,33.565661999999996,-84.59321,Fulton County,30412.0,32729.0
Fairmount,77,30139,GA,34.434629,-84.70133,Sedgwick County,28901.0,4143.0
Fargo,726,31631,GA,30.680867,-82.58028,Cass County,25509.0,415.0
Farmington,853,30638,GA,33.775001,-83.42456,San Juan County,,
Fayetteville,141,30214,GA,33.47875,-84.47668,Cumberland County,36318.5,66058.0
Felton,267,30140,GA,33.88232,-85.234946,Santa Cruz County,,
Fitzgerald,577,31750,GA,31.720028999999997,-83.25093000000003,Tulsa County,20822.0,18322.0
Fleming,806,31309,GA,31.873145,-81.42676,Tulsa County,19800.0,923.0
Flintstone,420,30725,GA,34.932348,-85.35064,Walker County,21244.0,4646.0
Flovilla,189,30216,GA,33.251174,-83.89284,Butts County,15399.0,2376.0
Flowery Branch,321,30542,GA,34.188280999999996,-83.91813,Hall County,33127.0,37056.0
Folkston,554,31537,GA,30.860915000000002,-82.02194,Charlton County,22647.0,10970.0
Forest Park,393,30298,GA,33.500696999999995,-84.35127299999998,,,
Forsyth,586,31029,GA,33.0409,-83.92941,Forsyth County,25070.0,16459.0
Fort Benning,269,31905,GA,32.373490000000004,-84.90612,,,
Fort Gaines,100,31751,GA,31.631333,-85.03241,Clay County,,
Fort Oglethorpe,165,30742,GA,34.948979,-85.25211999999998,Catoosa County,24406.0,7842.0
Fort Stewart,235,31314,GA,31.868699,-81.61083,Liberty County,27002.0,9275.0
Fort Valley,138,31030,GA,32.555679999999995,-83.88641,Peach County,18661.0,17701.0
Fortson,160,31808,GA,32.638884999999995,-85.00735999999998,McLennan County,41761.0,6961.0
Fowlstown,757,31752,GA,30.803290999999998,-84.54711,Decatur County,,
Franklin,270,30217,GA,33.298014,-85.12243000000002,Crawford County,25124.0,9144.0
Franklin Springs,982,30639,GA,34.281721000000005,-83.14746,Franklin County,,
Funston,452,31753,GA,31.205365000000004,-83.877554,San Francisco County,,
Gainesville,164,30504,GA,34.274355,-83.87003,Alachua County,24163.5,131139.0
Garfield,812,30425,GA,32.632683,-82.036,Labette County,25313.0,1339.0
Gay,596,30218,GA,33.121379,-84.58776,Tulsa County,31030.0,1628.0
Geneva,650,31810,GA,32.577909999999996,-84.54513,Geneva,15083.0,245.0
Georgetown,16,31754,GA,31.860476000000002,-85.07534,,,
Gibson,258,30810,GA,33.236721,-82.58135,Montgomery County,23345.0,1906.0
Gillsville,372,30543,GA,34.29945900000001,-83.65226,Banks County,24277.0,4853.0
Girard,93,30426,GA,33.032445,-81.63251,Crawford County,20893.0,782.0
Glenn,450,30219,GA,33.157214,-85.170588,Glenn County,,
Glennville,814,30427,GA,31.945767,-81.93594,Tattnall County,23832.0,12301.0
Glenwood,867,30428,GA,32.190739,-82.69115,Garfield County,19120.0,2783.0
Good Hope,391,30641,GA,33.766057,-83.57597,Harris County,30071.0,1957.0
Gordon,167,31031,GA,32.891498999999996,-83.32748000000002,Butler County,23844.0,6213.0
Gough,360,30811,GA,33.050487,-81.929165,,,
Gracewood,228,30812,GA,33.386041,-82.09099599999998,Tulsa County,16385.0,394.0
Grantville,171,30220,GA,33.230734000000005,-84.82543000000003,San Diego County,26820.0,5375.0
Gray,56,31032,GA,33.003454999999995,-83.55078,Jones County,31832.0,15113.0
Grayson,706,30017,GA,33.888829,-83.96848,Knox County,39645.0,24416.0
Graysville,444,30726,GA,34.975939000000004,-85.1416,Jefferson County,,
Greensboro,613,30642,GA,33.547041,-83.19797,Guilford County,28823.0,11949.0
Greenville,295,30222,GA,33.034760999999996,-84.73593000000002,Greenville County,20864.0,4116.0
Griffin,582,30224,GA,33.215454,-84.25426999999998,Muskogee County,23932.0,62128.0
Grovetown,362,30813,GA,33.459489000000005,-82.20102,Columbia County,33210.0,44065.0
Guyton,685,31312,GA,32.313815999999996,-81.3908,Effingham County,35947.0,20297.0
Haddock,935,31033,GA,33.053288,-83.43902,Sedgwick County,32917.0,1815.0
Hagan,303,30429,GA,32.159458,-81.93724,Evans County,19018.0,210.0
Hahira,926,31632,GA,30.991859,-83.36415,Lowndes County,26817.0,12958.0
Hamilton,658,31811,GA,32.722333,-84.95803000000002,Greenwood County,30356.0,6272.0
Hampton,145,30228,GA,33.401827000000004,-84.30152,,,
Haralson,513,30229,GA,33.232155999999996,-84.56854,Haralson County,,
Hardwick,105,31034,GA,33.040103,-83.2182,Caledonia County,,
Harlem,63,30814,GA,33.423590000000004,-82.31013,New York County,24462.0,8538.0
Harrison,719,31035,GA,32.835471000000005,-82.70761,Boone County,28586.0,1261.0
Hartsfield,441,31756,GA,31.177174,-83.96555,,,
Hartwell,945,30643,GA,34.366948,-82.9201,Hart County,21124.0,16009.0
Hawkinsville,536,31036,GA,32.270314,-83.48517,Pulaski County,22063.0,12322.0
Hazlehurst,350,31539,GA,31.844772,-82.59809,Jeff Davis County,21532.0,14645.0
Helen,131,30545,GA,34.713440999999996,-83.74189,White County,28750.0,698.0
Helena,986,31037,GA,32.094127,-82.91713,Lewis and Clark County,16687.0,4619.0
Hephzibah,151,30815,GA,33.32157,-82.08872,Richmond County,25155.0,40347.0
Hiawassee,574,30546,GA,34.923846999999995,-83.7231,Towns County,22820.0,6969.0
High Shoals,689,30645,GA,33.801274,-83.516374,Paulding County,,
Hillsboro,994,31038,GA,33.172786,-83.63554,Washington County,28059.0,566.0
Hinesville,83,31310,GA,31.806832,-81.437074,Liberty County,28303.0,40916.0
Hiram,62,30141,GA,33.867574,-84.77103000000002,Paulding County,31176.0,23326.0
Hoboken,419,31542,GA,31.1747,-82.13812,Hudson County,22297.0,3170.0
Hogansville,482,30230,GA,33.173516,-84.91736999999998,Troup County,21308.0,9470.0
Holly Springs,663,30142,GA,34.242944,-84.458326,Wake County,,
Homer,538,30547,GA,34.348822,-83.47738000000003,Stone County,20156.0,3209.0
Homerville,111,31634,GA,31.062818,-82.72399,Clinch County,20275.0,5622.0
Hortense,845,31543,GA,31.320166999999998,-81.85818,Indian River County,21034.0,4292.0
Hoschton,288,30548,GA,34.097915,-83.77864,Jackson County,36589.0,18630.0
Howard,720,31039,GA,32.587537,-84.3895,Elk County,,
Hull,505,30646,GA,34.065588,-83.31318,,,
Ideal,873,31041,GA,32.371371,-84.18258,Tulsa County,14451.0,689.0
Ila,843,30647,GA,34.120239,-83.288117,Douglas County,,
Inman,860,30232,GA,33.403811,-84.504403,McPherson County,,
Iron City,961,31759,GA,31.011595,-84.80242,Jefferson County,,
Irwinton,277,31042,GA,32.7615,-83.1612,Wilkinson County,22485.0,1477.0
Irwinville,712,31760,GA,31.70628300000001,-83.408633,Irwin County,,
Jackson,820,30233,GA,33.294522,-83.97568000000003,Montgomery County,24625.0,23245.0
Jacksonville,361,31544,GA,31.840974,-82.96137,Duval County,20139.0,778.0
Jakin,709,31761,GA,31.113121999999997,-85.00251,Early County,,
Jasper,852,30143,GA,34.454934,-84.41583,Division No. 15,30317.0,21487.0
Jefferson,415,30549,GA,34.112581,-83.58251,Montgomery County,30514.0,24892.0
Jeffersonville,50,31044,GA,32.63078400000001,-83.37026999999998,Clark County,19853.0,3463.0
Jekyll Island,354,31527,GA,31.064190000000004,-81.42071999999997,Glynn County,,
Jenkinsburg,45,30234,GA,33.325951,-84.03345999999998,Butts County,25606.0,2060.0
Jersey,592,30018,GA,33.717989,-83.801451,,,
Jesup,127,31598,GA,31.578181,-81.880222,Wayne County,21266.5,23755.0
Jewell,120,31045,GA,33.285773999999996,-82.7749,Douglas County,,
Jonesboro,290,30236,GA,33.528345,-84.33346999999998,Craighead County,26293.0,88804.0
Juliette,188,31046,GA,33.054590999999995,-83.78583,Kings County,24131.0,3198.0
Junction City,591,31812,GA,32.614374,-84.44513,Geary County,11987.0,585.0
Kathleen,466,31047,GA,32.509384000000004,-83.64773000000002,Ottawa County,38209.0,14625.0
Kennesaw,162,30144,GA,34.038949,-84.59706,Cobb County,35982.5,99130.0
Keysville,382,30816,GA,33.162490000000005,-82.18933,Charlotte County,26652.0,2024.0
Kings Bay,699,31547,GA,30.804684,-81.627717,Camden County,21594.0,1420.0
Kingsland,890,31548,GA,30.793409000000004,-81.68428,Llano County,27743.0,21146.0
Kingston,21,30145,GA,34.237986,-84.97801,Caldwell County,29190.0,7142.0
Kite,139,31049,GA,32.69992,-82.51380999999998,Sedgwick County,23488.0,1856.0
Knoxville,118,31050,GA,32.742084999999996,-83.94646,Knox County,14004.0,861.0
La Fayette,13,30728,GA,34.696201,-85.25824,Chambers County,21067.0,20609.0
Lagrange,514,30241,GA,33.036715,-84.98895,Troup County,23961.5,54380.0
Lake Park,87,31636,GA,30.722890000000003,-83.13302,San Luis Obispo County,22008.0,10640.0
Lakeland,44,31635,GA,31.055578000000004,-83.07103000000002,Polk County,20662.0,6602.0
Lakemont,26,30552,GA,34.763553,-83.44201,Delaware County,25919.0,1805.0
Lavonia,478,30553,GA,34.450501,-83.09448,Franklin County,23650.0,7994.0
Lawrenceville,241,30043,GA,34.001159,-84.01487,Gwinnett County,31379.0,256112.0
Leary,190,31762,GA,31.454628000000003,-84.51726,Bowie County,,
Lebanon,822,30146,GA,34.242944,-84.458326,,,
Leesburg,670,31763,GA,31.714526,-84.16931,Loudoun County,36161.0,24186.0
Lenox,214,31637,GA,31.291612,-83.45328,Fulton County,22323.0,2891.0
Leslie,515,31764,GA,31.98309,-84.06866,Ingham County,23716.0,1514.0
Lexington,973,30648,GA,33.863779,-83.06063,Fayette County,24657.0,3094.0
Lilburn,327,30048,GA,33.960353000000005,-84.037859,Gwinnett County,31381.0,65420.0
Lilly,421,31051,GA,32.148624,-83.88003,Marion County,18750.0,140.0
Lincolnton,861,30817,GA,33.765566,-82.43899,Lincoln County,24737.0,7642.0
Lindale,545,30147,GA,34.175095,-85.18084,Smith County,22784.0,4339.0
Lithia Springs,433,30122,GA,33.776137,-84.64484,Douglas County,29476.0,25786.0
Lithonia,88,30058,GA,33.750257,-84.0964,DeKalb County,28433.0,96762.0
Lizella,180,31052,GA,32.788484000000004,-83.80726,Bibb County,31168.0,8557.0
Locust Grove,462,30248,GA,33.351277,-84.10645,Henry County,33352.0,25161.0
Loganville,311,30052,GA,33.823809000000004,-83.89423000000002,Walton County,31550.0,65959.0
Lookout Mountain,47,30750,GA,34.957134,-85.37183,Walker County,15104.0,4753.0
Louisville,624,30434,GA,33.008983,-82.37799999999999,Jefferson County,19028.0,5386.0
Louvale,597,31814,GA,32.154164,-84.83856999999998,Stewart County,38594.0,234.0
Lovejoy,846,30250,GA,33.437428000000004,-84.31519,Collin County,7455.0,656.0
Ludowici,58,31316,GA,31.749909999999996,-81.75813000000002,Perry County,26653.0,13243.0
Lula,892,30554,GA,34.391688,-83.65979,Cook County,27146.0,7687.0
Lumber City,817,31549,GA,31.928525,-82.69332,Telfair County,17421.0,2157.0
Lumpkin,298,31815,GA,32.030297,-84.81218,Stewart County,15625.0,3677.0
Luthersville,608,30251,GA,33.201986,-84.69943,Meriwether County,25291.0,2316.0
Lyerly,827,30730,GA,34.376063,-85.4043,Chattooga County,18023.0,1933.0
Lyons,750,30436,GA,32.177508,-82.30448,Rice County,22341.0,12092.0
Mableton,954,30126,GA,33.817738,-84.56087,Cobb County,36417.0,41665.0
Macon,52,31208,GA,32.806707,-83.691315,Bibb County,19436.0,163700.0
Madison,247,30650,GA,33.588436,-83.47936,Dane County,28750.0,12063.0
Manassas,722,30438,GA,32.152792,-82.01301,,,
Manchester,37,31816,GA,32.862377,-84.60879,Greater Manchester,19761.0,5231.0
Manor,192,31550,GA,31.101953,-82.58299,Travis County,20547.0,801.0
